name,state_id
Abaji,8
Aba North,1
Aba South,1
Abi,3
Aboh Mbaise,6
Abua/Odual,2
Agege,5
Aguata,7
Ahiazu Mbaise,6
Ahoada East,2
Ahoada West,2
Ajeromi-Ifelodun,5
Akamkpa,3
Akpabuyo,3
Akuku-Toru,2
Alimosho,5
Amuwo-Odofin,5
Anambra East,7
Anambra West,7
Anaocha,7
Andoni,2
Aninri,4
Apapa,5
Arochukwu,1
Asari-Toru,2
Awgu,4
Awka North,7
Awka South,7
Ayamelum,7
Badagry,5
Bakassi,3
Bekwarra,3
Bende,1
Biase,3
Boki,3
Bonny,2
Bwari,8
Calabar Municipal,3
Calabar South,3
Degema,2
Dunukofia,7
Ehime Mbano,6
Ekwusigo,7
Eleme,2
Emuoha,2
Enugu East,4
Enugu North,4
Enugu South,4
Epe,5
Etche,2
Eti Osa,5
Etung,3
Ezeagu,4
Ezinihitte,6
Gokana,2
Gwagwalada,8
Ibeju-Lekki,5
Ideato North,6
Ideato South,6
Idemili North,7
Idemili South,7
Ifako-Ijaiye,5
Igbo Etiti,4
Igbo Eze North,4
Igbo Eze South,4
Ihiala,7
Ihitte/Uboma,6
Ikeduru,6
Ikeja,5
Ikom,3
Ikorodu,5
Ikwerre,2
Ikwuano,1
Isiala Mbano,6
Isiala Ngwa North,1
Isiala Ngwa South,1
Isi Uzo,4
Isu,6
Isuikwuato,1
Khana,2
Kosofe,5
Kuje,8
Kwali,8
Lagos Island,5
Lagos Mainland,5
Mbaitoli,6
Municipal Area Council,8
Mushin,5
Ngor Okpala,6
Njaba,6
Njikoka,7
Nkanu East,4
Nkanu West,4
Nkwerre,6
Nnewi North,7
Nnewi South,7
Nsukka,4
Nwangele,6
Obanliku,3
Obi Ngwa,1
Obio/Akpor,2
Obowo,6
Obubra,3
Obudu,3
Odukpani,3
Ogba/Egbema/Ndoni,2
Ogbaru,7
Ogu/Bolo,2
Ogoja,3
Oguta,6
Ohafia,1
Ohaji/Egbema,6
Oji River,4
Ojo,5
Okigwe,6
Okrika,2
Omuma,2
Onitsha North,7
Onitsha South,7
Opobo/Nkoro,2
Orlu,6
Orsu,6
Oru East,6
Orumba North,7
Orumba South,7
Oru West,6
Oshodi-Isolo,5
Osisioma,1
Owerri Municipal,6
Owerri North,6
Owerri West,6
Oyi,7
Oyigbo,2
Port Harcourt,2
Shomolu,5
Surulere,5
Tai,2
Udenu,4
Udi,4
Ugwunagbo,1
Ukwa East,1
Ukwa West,1
Umuahia North,1
Umuahia South,1
Umu Nneochi,1
Unuimo,6
Uzo Uwani,4
Yakuur,3
Yala,3
